Lang,Class,Year,Task,Solution
de,34,2022,a1,a
de,34,2022,a2,c
de,34,2022,a3,d
de,34,2022,a4,c
de,34,2022,a5,e
de,34,2022,a6,b
de,34,2022,a7,e
de,34,2022,a8,d
de,34,2022,b1,b
de,34,2022,b2,b
de,34,2022,b3,a
de,34,2022,b4,c
de,34,2022,b5,a
de,34,2022,b6,d
de,34,2022,b7,c
de,34,2022,b8,c
de,34,2022,c1,e
de,34,2022,c2,d
de,34,2022,c3,b
de,34,2022,c4,a
de,34,2022,c5,e
de,34,2022,c6,b
de,34,2022,c7,d
de,34,2022,c8,d
de,34,2021,a1,c
de,34,2021,a2,a
de,34,2021,a3,c
de,34,2021,a4,b
de,34,2021,a5,e
de,34,2021,a6,d
de,34,2021,a7,b
de,34,2021,a8,b
de,34,2021,b1,c
de,34,2021,b2,d
de,34,2021,b3,d
de,34,2021,b4,a
de,34,2021,b5,e
de,34,2021,b6,d
de,34,2021,b7,a
de,34,2021,b8,e
de,34,2021,c1,a
de,34,2021,c2,d
de,34,2021,c3,e
de,34,2021,c4,b
de,34,2021,c5,e
de,34,2021,c6,d
de,34,2021,c7,e
de,34,2021,c8,c
de,34,2020,a1,a
de,34,2020,a2,a
de,34,2020,a3,c
de,34,2020,a4,d
de,34,2020,a5,d
de,34,2020,a6,e
de,34,2020,a7,b
de,34,2020,a8,e
de,34,2020,b1,c
de,34,2020,b2,b
de,34,2020,b3,c
de,34,2020,b4,a
de,34,2020,b5,b
de,34,2020,b6,d
de,34,2020,b7,a
de,34,2020,b8,d
de,34,2020,c1,a
de,34,2020,c2,e
de,34,2020,c3,b
de,34,2020,c4,d
de,34,2020,c5,d
de,34,2020,c6,c
de,34,2020,c7,e
de,34,2020,c8,d
de,34,2019,a1,d
de,34,2019,a2,e
de,34,2019,a3,c
de,34,2019,a4,d
de,34,2019,a5,c
de,34,2019,a6,e
de,34,2019,a7,a
de,34,2019,a8,c
de,34,2019,b1,e
de,34,2019,b2,b
de,34,2019,b3,a
de,34,2019,b4,c
de,34,2019,b5,a
de,34,2019,b6,b
de,34,2019,b7,a
de,34,2019,b8,d
de,34,2019,c1,b
de,34,2019,c2,c
de,34,2019,c3,e
de,34,2019,c4,b
de,34,2019,c5,a
de,34,2019,c6,d
de,34,2019,c7,e
de,34,2019,c8,c
de,34,2018,a1,D
de,34,2018,a2,B
de,34,2018,a3,C
de,34,2018,a4,E
de,34,2018,a5,D
de,34,2018,a6,B
de,34,2018,a7,A
de,34,2018,a8,C
de,34,2018,b1,b
de,34,2018,b2,e
de,34,2018,b3,c
de,34,2018,b4,e
de,34,2018,b5,a
de,34,2018,b6,a
de,34,2018,b7,c
de,34,2018,b8,b
de,34,2018,c1,d
de,34,2018,c2,b
de,34,2018,c3,d
de,34,2018,c4,a
de,34,2018,c5,e
de,34,2018,c6,c
de,34,2018,c7,b
de,34,2018,c8,d
de,34,2017,a1,A
de,34,2017,a2,B
de,34,2017,a3,B
de,34,2017,a4,A
de,34,2017,a5,E
de,34,2017,a6,D
de,34,2017,a7,B
de,34,2017,a8,C
de,34,2017,b1,D
de,34,2017,b2,E
de,34,2017,b3,D
de,34,2017,b4,A
de,34,2017,b5,C
de,34,2017,b6,E
de,34,2017,b7,C
de,34,2017,b8,C
de,34,2017,c1,D
de,34,2017,c2,D
de,34,2017,c3,B
de,34,2017,c4,E
de,34,2017,c5,D
de,34,2017,c6,B
de,34,2017,c7,A
de,34,2017,c8,C
de,34,2016,a1,E
de,34,2016,a2,A
de,34,2016,a3,E
de,34,2016,a4,C
de,34,2016,a5,D
de,34,2016,a6,D
de,34,2016,a7,B
de,34,2016,a8,D
de,34,2016,b1,C
de,34,2016,b2,E
de,34,2016,b3,E
de,34,2016,b4,B
de,34,2016,b5,B
de,34,2016,b6,C
de,34,2016,b7,A
